Company Name,Status,Ship Date,City,State,Zip,Shipping Service,Created Date,Weight,Item/Bottle Count,Zone
Ecom1,Delivered,2/3/2021,Fleming Island,FL,32003,FEH,2/1/2021,20.2,6,
Ecom1,Delivered,2/3/2021,Glenview,IL,60026,FEH,2/1/2021,10.5,3,
Ecom1,Delivered,2/3/2021,Apex,NC,27502,FEH,2/1/2021,10.5,3,
Ecom1,Delivered,2/3/2021,Brooklyn,NY,11201,FEH,2/1/2021,20.2,6,
Ecom1,Delivered,2/3/2021,Chicago,IL,60642,FEH,2/1/2021,10.5,3,
Ecom1,Delivered,2/3/2021,Virginia Beach,VA,23452,FEH,2/1/2021,10.5,3,
Ecom1,Delivered,2/3/2021,Chicago,IL,60614,FEH,2/1/2021,10.5,3,
Ecom1,Delivery Attempt,2/1/2021,Boulder Creek,CA,95006,FEH,2/1/2021,20.2,6,
Ecom1,Delivered,2/1/2021,Federal Way,WA,98023,FEH,2/1/2021,39,12,
Ecom1,In Transit,2/1/2021,Valentine,NE,69201,FEH,2/1/2021,20.2,6,
Ecom1,Delivered,2/3/2021,Brooklyn,NY,11226-3528,FEH,2/1/2021,20.2,6,
Ecom1,Delivered,2/3/2021,Weston,FL,33326,FXG,2/1/2021,10.5,3,
Ecom1,Delivered,2/3/2021,Doylestown,PA,18901,FEH,2/1/2021,10.5,3,
Ecom1,In Transit,2/3/2021,Chicago,IL,60601,FEH,2/1/2021,10.5,3,
Ecom1,Delivered,2/1/2021,Fort Collins,CO,80524,FEH,2/1/2021,10.5,3,
Ecom1,Delivered,2/3/2021,Chicago,IL,60647,FEH,2/1/2021,20.2,6,
Ecom1,Delivered,2/1/2021,Phoenix,AZ,85020,FEH,2/1/2021,10.5,3,
Ecom1,Delivered,2/3/2021,Speedway,IN,46224,FEH,2/1/2021,10.5,3,
Ecom1,Delivered,2/3/2021,Nashville,TN,37205,FEH,2/1/2021,10.5,3,
Ecom1,Delivered,2/3/2021,Raleigh,NC,27616,FEH,2/1/2021,20.2,6,
Ecom1,Delivered,2/1/2021,Lava Hot Springs,ID,83246,FEH,2/1/2021,20.2,6,
Ecom1,Delivered,2/1/2021,Galveston,TX,77554,FXG,2/1/2021,10.5,3,
Ecom1,Delivered,2/3/2021,Chicago,IL,60616,FEH,2/1/2021,10.5,3,
Ecom1,Delivered,2/3/2021,Brooklyn,NY,11231,FEH,2/1/2021,20.2,6,
Ecom1,Delivered,2/3/2021,Durham,NC,27705,FEH,2/1/2021,10.5,3,
Ecom1,Delivered,2/3/2021,Grand Rapids,MI,49504,FEH,2/1/2021,20.2,6,
Ecom1,Delivered,2/3/2021,South Bend,IN,46614,FEH,2/1/2021,10.5,3,
Ecom1,Delivered,2/3/2021,St. Charles,MO,63301,FEH,2/1/2021,20.2,6,
Ecom1,Delivered,2/3/2021,Madison,WI,53711,FEH,2/1/2021,10.5,3,
Ecom1,Delivered,2/3/2021,NASHVILLE,TN,37206,FEH,2/1/2021,20.2,6,
Ecom1,In Transit,2/3/2021,KANSAS CITY,MO,64108,FEH,2/1/2021,10.5,3,
Ecom1,Delivered,2/1/2021,Deer Trail,CO,80105,FEH,2/1/2021,10.5,3,
Ecom1,In Transit,2/1/2021,colorado springs,CO,80909,FEH,2/1/2021,10.5,3,
Ecom1,Delivered,2/3/2021,Staten Island,NY,10301,FEH,2/1/2021,20.2,6,
Ecom1,Delivered,2/3/2021,Canton,OH,44708,FEH,2/1/2021,10.5,3,
Ecom1,Delivered,2/3/2021,hollywood,FL,33020,FEH,2/1/2021,10.5,3,
Ecom1,In Transit,2/1/2021,Houston,TX,77004,FEH,2/1/2021,10.5,3,
Ecom1,Delivered,2/3/2021,Benton,KS,67017,FEH,2/1/2021,10.5,3,
Ecom1,Delivered,2/1/2021,Merced,CA,95340,FEH,2/1/2021,20.2,6,
Ecom1,Delivered,2/1/2021,PALO ALTO,CA,943013003,FEH,2/1/2021,10.5,3,
Ecom1,Delivered,2/1/2021,Richmond,CA,94801,FEH,2/1/2021,10.5,3,
Ecom1,Delivered,2/1/2021,Belmont,CA,94002,FEH,2/1/2021,10.5,3,
Ecom1,Delivered,2/3/2021,Cincinnati,OH,45238,FEH,2/1/2021,10.5,3,
Ecom1,Delivered,2/3/2021,Sarasota,FL,34235,FEH,2/1/2021,10.5,3,
Ecom1,Delivered,2/3/2021,Fort Wayne,IN,46805,FEH,2/1/2021,20.2,6,
Ecom1,Delivered,2/3/2021,Minneapolis,MN,55401,FEH,2/1/2021,20.2,6,
Ecom1,Delivered,2/1/2021,Denver,CO,80211,FEH,2/1/2021,20.2,6,
Ecom1,Delivered,2/3/2021,BLOOMINGTON,IN,47401-5035,FEH,2/1/2021,10.5,3,
Ecom1,In Transit,2/3/2021,Nolensville,TN,37135,FEH,2/1/2021,10.5,3,
Ecom1,Delivered,2/3/2021,Wilmington,DE,19801,UPS,2/1/2021,10.5,3,
Ecom1,Delivered,2/1/2021,Boulder,CO,80303,FEH,2/1/2021,10.5,3,
Ecom1,Delivered,2/1/2021,Rio Verde,AZ,85263,FEH,2/1/2021,10.5,3,
Ecom1,Delivered,2/1/2021,Seattle,WA,98136,FEH,2/1/2021,30,9,
Ecom1,Delivered,2/3/2021,Williamsport,PA,17701,FEH,2/1/2021,10.5,3,
Ecom1,Delivered,2/3/2021,Saginaw,MI,48602,FEH,2/1/2021,10.5,3,
Ecom1,Delivered,2/3/2021,Cumming,GA,30040,FEH,2/1/2021,10.5,3,
Ecom1,In Transit,2/1/2021,Steamboat Springs,CO,80487,FEH,2/1/2021,20.2,6,
Ecom1,Delivered,2/3/2021,Charlotte,NC,28205,FEH,2/1/2021,10.5,3,
Ecom1,In Transit,2/3/2021,The Villages,FL,32162,FEH,2/1/2021,10.5,3,
Ecom1,Delivered,2/3/2021,Downingtown,PA,19335,FEH,2/1/2021,10.5,3,
Ecom1,Delivered,2/1/2021,Solana Beach,CA,92075,FXG,2/1/2021,39,12,
Ecom1,Delivered,2/3/2021,Long Beach,NY,11561,FEH,2/1/2021,10.5,3,
Ecom1,Delivered,2/3/2021,Wakefield,RI,2879,UPS,2/1/2021,10.5,3,
Ecom1,Delivered,2/3/2021,New York,NY,10002,FEH,2/1/2021,10.5,3,
Ecom1,Delivered,2/3/2021,Greer,SC,29650,FEH,2/1/2021,10.5,3,
Ecom1,Delivered,2/3/2021,St Clairsville,OH,43950,FEH,2/1/2021,10.5,3,
Ecom1,Delivered,2/3/2021,Tampa,FL,33629,FEH,2/1/2021,6.5,1,
Ecom1,Delivered,2/3/2021,Decatur,GA,30030,FEH,2/1/2021,6.5,1,
Ecom1,In Transit,2/3/2021,Atlanta,GA,30327,FEH,2/1/2021,6.5,1,
Ecom1,Delivered,2/3/2021,Greenwich,CT,6830,FEH,2/1/2021,6.5,1,
Ecom1,Delivered,2/3/2021,Summit,NJ,7901,FEH,2/1/2021,6.5,1,
Ecom1,Delivered,2/3/2021,Brooklyn,NY,11226,FEH,2/1/2021,6.5,1,
Ecom1,Delivered,2/3/2021,Manhasset,NY,11030,FEH,2/1/2021,6.5,1,
