Company Name,Ship Date,City,State,Shipping Service,Created Date,Weight,Item/Bottle Count
1,43952.87147,1895,41,1,43950.52122,10.0,3
1,43952.61862,933,25,1,43950.52133,39.0,12
1,43952.61863,6208,36,1,43950.52135,39.0,12
1,43952.61863,2610,29,1,43950.52135,20.2,6
1,43952.61863,1383,14,1,43950.52138,39.0,12
1,43952.61863,2087,25,4,43950.52139,39.0,12
1,43952.61863,3534,17,1,43950.60442,39.0,12
1,43952.61863,3802,32,1,43950.60442,39.0,12
1,43952.61863,3451,6,1,43950.60444,39.0,12
1,43952.61863,3796,32,4,43950.60446,20.2,6
1,43952.61863,4367,36,1,43950.60446,20.2,6
1,43952.61863,4950,10,1,43950.60447,20.2,6
1,43952.61865,1352,12,1,43950.60447,39.0,12
1,43952.61863,101,36,1,43950.77117,20.2,6
1,43952.61863,2203,29,1,43950.77118,10.5,3
1,43952.61863,727,25,1,43950.77119,20.2,6
1,43952.61863,1225,10,1,43950.77119,39.0,12
1,43952.61863,1225,10,1,43950.77119,30.0,9
1,43952.61863,746,33,4,43950.77125,39.0,12
1,43952.61863,3356,21,1,43950.77126,20.2,6
1,43952.61863,4422,15,1,43950.77128,39.0,12
1,43952.61863,1978,36,1,43950.77131,20.2,6
1,43952.61865,3930,6,1,43950.77131,39.0,12
1,43952.61865,6157,32,1,43950.77133,20.2,6
1,43952.61865,6101,21,1,43950.77137,39.0,12
1,43952.61865,575,9,4,43950.77138,20.2,6
1,43952.61865,675,32,1,43950.77139,39.0,12
1,43952.61865,4955,32,1,43950.77141,39.0,12
1,43952.61865,4295,36,1,43950.77142,39.0,12
1,43952.61865,5806,32,1,43950.77144,39.0,12
1,43952.61865,3937,21,1,43950.89608,20.2,6
1,43952.61865,640,32,1,43950.8961,20.2,6
1,43952.61865,971,14,1,43950.89612,39.0,12
1,43952.61865,971,14,1,43950.89612,20.2,6
1,43952.61865,931,38,1,43950.89613,33.0,10
1,43952.61865,492,29,1,43950.89615,20.2,6
1,43952.61865,3633,38,1,43950.89616,20.2,6
1,43952.61865,5635,9,1,43950.89616,20.2,6
1,43952.61865,2258,38,1,43952.51668,39.0,12
1,43952.87149,3112,4,4,43944.43789,39.0,12
1,43952.87149,3112,4,1,43944.52106,24.0,7
1,43952.87149,5620,44,1,43944.89608,39.0,12
1,43952.87149,5620,44,1,43944.89608,20.2,6
1,43952.8715,4883,4,1,43945.89604,30.0,9
1,43952.87148,3112,4,1,43949.52117,20.0,6
1,43952.87149,201,5,1,43947.43814,20.2,6
1,43952.8715,241,41,4,43947.43823,39.0,12
1,43952.87149,2939,31,1,43948.43781,27.0,8
1,43952.87149,4035,27,1,43948.43795,10.5,3
1,43952.87149,1222,4,1,43948.43807,10.5,3
1,43952.87149,4883,4,1,43948.60449,39.0,12
1,43952.87148,655,41,1,43948.7713,20.2,6
1,43952.87149,2729,41,1,43948.89604,39.0,12
1,43952.87148,4553,4,1,43949.43791,17.0,5
1,43952.8715,1804,4,1,43949.43834,39.0,12
1,43952.8715,1804,4,1,43949.43834,39.0,12
1,43952.87148,5394,3,1,43949.43834,39.0,12
1,43952.87148,662,44,1,43949.77134,20.2,6
1,43952.87149,1094,4,1,43949.77138,20.2,6
1,43952.87148,5196,31,1,43949.7714,10.5,3
1,43952.8715,2439,35,1,43949.77144,39.0,12
1,43952.87148,241,41,1,43949.8961,20.2,6
1,43952.87147,2494,4,1,43950.43785,39.0,12
1,43952.61862,4295,36,1,43950.52126,30.0,9
1,43952.87147,4071,4,1,43951.52128,39.0,12
1,43952.87146,1912,4,1,43951.5213,20.2,6
1,43952.87146,4883,4,1,43951.52137,39.0,12
1,43952.87147,4927,30,1,43951.72837,20.2,6
1,43952.87147,5877,4,1,43951.7284,10.5,3
1,43952.87147,618,5,1,43951.72845,20.2,6
1,43952.87147,4825,4,1,43951.72848,20.2,6
1,43952.87147,1898,5,1,43951.72848,10.5,3
1,43952.87147,1848,41,1,43951.89604,39.0,12
1,43952.87146,2969,5,4,43952.43788,39.0,12
1,43952.87146,2969,5,4,43952.43788,10.5,3
1,43952.87146,3383,44,1,43952.43791,20.2,6
1,43952.87146,4259,35,4,43952.43841,10.0,3
1,43952.87147,6304,4,4,43952.43847,10.0,3
3,43952.72059,73,11,9,43951.96881,32.0,9
3,43952.68903,245,33,9,43952.51087,41.0,12
3,43952.63088,619,32,1,43951.94795,29.0,8
3,43952.63087,5761,19,1,43951.76061,26.0,7
3,43952.72015,988,4,9,43951.87524,18.5,5
3,43952.68902,5044,32,1,43951.85435,29.0,8
3,43952.68903,3474,19,1,43952.365,41.0,12
3,43952.72059,5167,4,9,43951.96889,26.0,7
3,43952.68903,5285,10,9,43952.44963,7.0,2
3,43952.68904,1401,36,9,43952.57421,21.5,6
3,43952.68903,365,29,9,43952.47928,41.0,12
3,43952.72059,5929,4,9,43951.96883,26.0,7
3,43952.63086,5894,9,9,43951.61485,9.9,3
3,43952.689,2532,15,9,43951.75019,18.5,5
3,43952.55198,73,11,9,43951.84389,41.0,12
3,43952.55198,73,11,9,43951.84389,21.5,6
3,43952.63087,3788,17,9,43952.02089,41.0,12
3,43952.63088,3788,17,9,43952.02089,29.0,8
3,43952.81294,1341,5,9,43952.64635,9.9,3
3,43952.55199,1341,5,9,43952.03131,21.5,6
3,43952.55199,2739,44,9,43952.09377,14.0,4
3,43952.63088,971,14,9,43951.96885,41.0,12
3,43952.68899,225,10,9,43951.65159,21.5,6
3,43952.68902,971,14,9,43952.35433,21.5,6
3,43952.68899,1881,19,1,43951.72928,41.0,12
3,43952.68902,218,16,9,43951.79192,7.0,2
3,43952.68903,3822,4,9,43952.50894,3.35,1
3,43952.81293,3822,4,9,43951.72947,14.0,4
3,43952.68899,1112,36,9,43951.59433,21.5,6
3,43952.63088,5023,33,9,43951.81252,21.5,6
3,43952.689,774,19,1,43951.75006,21.5,6
3,43952.68903,5770,4,9,43952.51742,7.0,2
3,43952.72058,445,4,9,43951.86471,41.0,12
3,43952.81293,4921,4,9,43952.481,9.9,3
3,43952.63086,4566,19,1,43951.84384,41.0,12
3,43952.68904,5405,36,9,43952.56266,18.5,5
3,43952.63088,5982,23,1,43952.02094,26.0,7
3,43952.68899,5258,36,9,43951.71919,21.5,6
3,43952.63087,3524,33,9,43951.79197,21.5,6
3,43952.63087,723,42,9,43951.76049,41.0,12
3,43952.63088,3802,32,4,43951.95836,18.5,5
3,43952.55198,4557,44,9,43951.94794,21.5,6
3,43952.68902,3428,9,9,43951.92721,21.5,6
3,43952.55199,2206,41,9,43952.46024,21.5,6
3,43952.63087,5710,32,1,43951.7606,21.5,6
3,43952.55198,4899,4,9,43951.86468,26.0,7
3,43952.689,5925,15,9,43951.73994,41.0,12
3,43952.68899,931,23,1,43951.61497,21.5,6
3,43952.68903,653,15,9,43952.53198,26.0,7
3,43952.63086,1865,18,1,43951.73973,41.0,12
3,43952.55198,5770,4,9,43951.87525,26.0,7
3,43952.81293,241,41,9,43952.19869,9.9,3
3,43952.63087,4623,42,9,43951.79181,26.0,7
3,43952.689,3325,42,9,43951.73962,21.5,6
3,43952.55198,553,44,9,43951.81271,14.0,4
3,43952.72015,1708,41,9,43951.85429,14.0,4
3,43952.689,1715,42,9,43951.7297,21.5,6
3,43952.63087,95,42,9,43951.77096,21.5,6
3,43952.68902,2659,23,1,43951.91672,41.0,12
3,43952.63086,4332,36,9,43951.66715,38.0,11
3,43952.63088,1327,32,4,43951.8752,21.5,6
3,43952.55199,4050,4,9,43952.09381,9.9,3
3,43952.68899,993,33,9,43951.60421,21.5,6
3,43952.72015,4572,44,9,43951.85421,21.5,6
3,43952.72014,1566,4,9,43951.84383,21.5,6
3,43952.68904,1031,29,9,43952.56311,41.0,12
3,43952.689,3802,32,1,43951.72941,18.5,5
3,43952.72014,4972,3,9,43951.84381,21.5,6
